instruction,input,output,text
당직에 대해 알려줘,,"당직은 휴일 또는 근무시간 외의 화재, 도난 또는 그 밖의 사고의 경계와 문서처리 및 업무연락을 하기 위해 당번을 정하여 하는 근무입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직에 대해 알려줘
### Response:
당직은 휴일 또는 근무시간 외의 화재, 도난 또는 그 밖의 사고의 경계와 문서처리 및 업무연락을 하기 위해 당번을 정하여 하는 근무입니다."
공직자가 가져야 할 자세에 대해 알려줘,,"주민 전체의 봉사자로서 직무를 민주적이고 능률적으로 수행하기 위하여 창의와 성실로서 맡은 바 책임을 완수하여야 합니다. 또한 비밀을 엄수하고, 매사 친절하고 공정하며 근검해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공직자가 가져야 할 자세에 대해 알려줘
### Response:
주민 전체의 봉사자로서 직무를 민주적이고 능률적으로 수행하기 위하여 창의와 성실로서 맡은 바 책임을 완수하여야 합니다. 또한 비밀을 엄수하고, 매사 친절하고 공정하며 근검해야 합니다."
당직신고를 하는 방법에 대해 알려줘,,"당직근무자는 당직근무 시작시간 30분 전에 당직명령자에게 당직신고를 해야 합니다. 다만 토요일, 공휴일의 당직근무자는 그 직전 정상근무일 당직신고를 해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직신고를 하는 방법에 대해 알려줘
### Response:
당직근무자는 당직근무 시작시간 30분 전에 당직명령자에게 당직신고를 해야 합니다. 다만 토요일, 공휴일의 당직근무자는 그 직전 정상근무일 당직신고를 해야 합니다."
공직자의 바람직한 태도에 대해 알려줘,,만약 전화가 온다면 공손히 직장과 이름을 먼저 밝히고 받습니다.  또한 민원은 신속하고 공정하게 처리하며 찾아오는 주민은 우선적으로 맞이합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공직자의 바람직한 태도에 대해 알려줘
### Response:
만약 전화가 온다면 공손히 직장과 이름을 먼저 밝히고 받습니다.  또한 민원은 신속하고 공정하게 처리하며 찾아오는 주민은 우선적으로 맞이합니다."
당직이 해야 할 일에 대해 알려줘,,"청사 내외의 보안상태 점검, 문서의 수발 및 인계 관리, 국기 게양 및 관리상태 점검, 비상근무 발생시 소집 등의 조치가 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직이 해야 할 일에 대해 알려줘
### Response:
청사 내외의 보안상태 점검, 문서의 수발 및 인계 관리, 국기 게양 및 관리상태 점검, 비상근무 발생시 소집 등의 조치가 있습니다."
근무시간에 대해 알려줘,,"근무는 월요일~금요일이며 1주에 40시간을, 토요일은 휴무함이 원칙입니다. 1일의 근무시간은 9~18시이며 점심시간은 12~13시, 근무시간에 포함되지 않습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
근무시간에 대해 알려줘
### Response:
근무는 월요일~금요일이며 1주에 40시간을, 토요일은 휴무함이 원칙입니다. 1일의 근무시간은 9~18시이며 점심시간은 12~13시, 근무시간에 포함되지 않습니다."
보안 관리에 대해 알려줘,,"업무관련 서류 방치, 서랍 등 시건 장치 확인, 책상위에 공문서, 개인정보 포함된 서류, USB 등 개인 소지품 방치행위 등을 점검합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
보안 관리에 대해 알려줘
### Response:
업무관련 서류 방치, 서랍 등 시건 장치 확인, 책상위에 공문서, 개인정보 포함된 서류, USB 등 개인 소지품 방치행위 등을 점검합니다."
출장에 대해 알려줘,,"근무지내 출장은 출장거리가 12km 미만, 넘더라도 동일한 시 또는 군 안에서의 출장을 뜻합니다. 그리고 근무지외 출장은 출장거리 12km 이상인 출장을 뜻합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
출장에 대해 알려줘
### Response:
근무지내 출장은 출장거리가 12km 미만, 넘더라도 동일한 시 또는 군 안에서의 출장을 뜻합니다. 그리고 근무지외 출장은 출장거리 12km 이상인 출장을 뜻합니다."
휴가에 대해 알려줘,,"연가: 정신적·신체적 휴식을 취함으로써 근무능률을 유지하고 개인생활의 편의를 위하여 사용하는 휴가, 병가: 질병 또는 부상으로 직무를 수행할 수 없는 경우 또는 감염병에 걸려 다른 공무원의 건강에 영향을 미칠 우려가 있을 때 부여받는 휴가, 공가: 공무원이 일반국민의 자격으로 국가기관의 업무수행에 협조하거나 법령상 의무의 이행이 필요한 경우에 부여받는 휴가입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
휴가에 대해 알려줘
### Response:
연가: 정신적·신체적 휴식을 취함으로써 근무능률을 유지하고 개인생활의 편의를 위하여 사용하는 휴가, 병가: 질병 또는 부상으로 직무를 수행할 수 없는 경우 또는 감염병에 걸려 다른 공무원의 건강에 영향을 미칠 우려가 있을 때 부여받는 휴가, 공가: 공무원이 일반국민의 자격으로 국가기관의 업무수행에 협조하거나 법령상 의무의 이행이 필요한 경우에 부여받는 휴가입니다."
병가에 대해 알려줘,,"일반병가는 연간 60일, 공무상 병가는 연간 180일이 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
병가에 대해 알려줘
### Response:
일반병가는 연간 60일, 공무상 병가는 연간 180일이 가능합니다."
